,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
167,HIG,Hartford (The),Financials,"Hartford, Connecticut",0.84,2.26,41.7658043,-72.6733723
168,HAS,Hasbro,Consumer Discretionary,"Pawtucket, Rhode Island",1.94,3.04,41.878711,-71.38255579999999
169,PEAK,Healthpeak,Real Estate,"Long Beach, California",2.29,9.11,33.7700504,-118.1937395
170,HSY,Hershey's,Consumer Staples,"Hershey, Pennsylvania",2.37,2.95,40.2859239,-76.65024679999999
171,HES,Hess Corporation,Energy,"New York City, New York",1.0,2.21,40.7127753,-74.0059728
172,HPE,Hewlett Packard Enterprise,Information Technology,"Houston, Texas",0.16,2.08,29.7604267,-95.3698028
173,HLT,Hilton Worldwide,Consumer Discretionary,"Tysons Corner, Virginia",0.28,0.62,38.9187222,-77.2310925
174,HD,Home Depot (The),Consumer Discretionary,"Atlanta, Georgia",2.66,2.39,33.748752,-84.38768449999999
175,HON,Honeywell,Industrials,"Charlotte, North Carolina",2.38,2.66,35.2270869,-80.8431267
176,HRL,Hormel Foods,Consumer Staples,"Austin, Minnesota",0.83,2.65,43.6666296,-92.97463669999999
177,HST,Host Hotels & Resorts,Real Estate,"Bethesda, Maryland",0.8,6.42,38.984652,-77.0947092
178,HWM,Howmet Aerospace,Industrials,"Pittsburgh, Pennsylvania",0.12,0.6,40.44062479999999,-79.9958864
179,HPQ,HP Inc.,Information Technology,"Palo Alto, California",15.22,140.97,37.4418834,-122.1430195
180,HUM,Humana,Health Care,"Louisville, Kentucky",0.87,0.5,38.2526647,-85.7584557
181,HBAN,Huntington Bancshares,Financials,"Columbus, Ohio; Detroit, Michigan",0.28,3.78,42.331427,-83.0457538
182,HII,Huntington Ingalls Industries,Industrials,"Newport News, Virginia",2.0,1.58,37.0870821,-76.4730122
183,IBM,IBM,Information Technology,"Armonk, New York",5.4,5.55,41.1264849,-73.71401949999999
184,IEX,IDEX Corporation,Industrials,"Lake Forest, Illinois",1.32,1.85,42.2586342,-87.840625
185,ITW,Illinois Tool Works,Industrials,"Glenview, Illinois",2.3,2.62,42.0778065,-87.8223368
186,INTC,Intel,Information Technology,"Santa Clara, California",1.02,3.95,37.3541079,-121.9552356
187,ICE,Intercontinental Exchange,Financials,"Atlanta, Georgia",3.3,7.12,33.748752,-84.38768449999999
188,IP,International Paper,Materials,"Memphis, Tennessee",1.76,6.37,35.1495343,-90.0489801
189,IPG,Interpublic Group of Companies (The),Communication Services,"New York City, New York",0.57,3.26,40.7127753,-74.0059728
190,INTU,Intuit,Information Technology,"Mountain View, California",1.2,1.27,37.3860517,-122.0838511
191,IVZ,Invesco,Financials,"Atlanta, Georgia",1.1,5.26,33.748752,-84.38768449999999
192,IRM,Iron Mountain,Real Estate,"Boston, Massachusetts",1.94,9.34,42.3600825,-71.0588801
193,JBHT,J.B. Hunt,Industrials,"Lowell, Arkansas",0.87,1.19,36.2541286,-94.1368255
194,JKHY,Jack Henry & Associates,Financials,"Monett, Missouri",1.09,1.43,36.9197522,-93.92761030000001
195,JNJ,Johnson & Johnson,Health Care,"New Brunswick, New Jersey",3.1,3.42,40.4862157,-74.4518188
196,JCI,Johnson Controls,Industrials,"Cork, Ireland",1.92,5.94,51.8985143,-8.4756035
197,JPM,JPMorgan Chase,Financials,"New York City, New York",1.8,3.62,40.7127753,-74.0059728
198,JNPR,Juniper Networks,Information Technology,"Sunnyvale, California",0.4,1.93,37.36883,-122.0363496
199,K,Kellogg's,Consumer Staples,"Battle Creek, Michigan",2.02,3.45,42.3211522,-85.17971419999999
200,KDP,Keurig Dr Pepper,Consumer Staples,"Burlington, Massachusetts",2.07,15.04,42.5047161,-71.1956205
201,KEY,KeyCorp,Financials,"Cleveland, Ohio",0.32,3.48,41.49932,-81.6943605
202,KMB,Kimberly-Clark,Consumer Staples,"Irving, Texas",3.64,3.63,32.8140177,-96.9488945
203,KIM,Kimco Realty,Real Estate,"New Hyde Park, New York",1.0,5.24,40.7351018,-73.6879082
204,KMI,Kinder Morgan,Energy,"Houston, Texas",0.88,5.87,29.7604267,-95.3698028
205,KLAC,KLA Corporation,Information Technology,"Milpitas, California",2.08,3.63,37.4323341,-121.8995741
206,KHC,Kraft Heinz,Consumer Staples,"Chicago, Illinois; Pittsburgh, Pennsylvania",2.9,5.06,40.44062479999999,-79.9958864
207,KR,Kroger,Consumer Staples,"Cincinnati, Ohio",0.44,1.43,39.1031182,-84.5120196
208,LHX,L3Harris,Industrials,"Melbourne, Florida",2.03,2.8,28.0836269,-80.60810889999999
209,LRCX,Lam Research,Information Technology,"Fremont, California",1.2,1.64,37.5485396,-121.988583
210,LVS,Las Vegas Sands,Consumer Discretionary,"Las Vegas, Nevada",2.81,7.09,36.171563,-115.1391009
211,LDOS,Leidos,Industrials,"Reston, Virginia",15.24,45.06,38.9586307,-77.35700279999999
212,LEN,Lennar,Consumer Discretionary,"Miami, Florida",0.16,0.37,25.7616798,-80.1917902
213,LNC,Lincoln Financial,Financials,"Radnor, Pennsylvania",0.95,2.88,40.0462208,-75.3599105
214,LMT,Lockheed Martin,Industrials,"Bethesda, Maryland",6.6,3.46,38.984652,-77.0947092
215,L,Loews Corporation,Financials,"New York City, New York",0.25,0.67,40.7127753,-74.0059728
216,LOW,Lowe's,Consumer Discretionary,"Mooresville, North Carolina",1.19,1.8,35.5820319,-80.8140473
217,LYB,LyondellBasell,Materials,"Rotterdam, Netherlands",3.26,6.86,51.9244201,4.4777325
218,MTB,M&T Bank,Financials,"Buffalo, New York",2.8,2.9,42.88644679999999,-78.8783689
219,MRO,Marathon Oil,Energy,"Houston, Texas",0.2,1.85,29.7604267,-95.3698028
220,MPC,Marathon Petroleum,Energy,"Findlay, Ohio",1.32,4.35,41.04422,-83.6499321
221,MKTX,MarketAxess,Financials,"New York City, New York",0.98,0.86,40.7127753,-74.0059728
222,MAR,Marriott International,Consumer Discretionary,"Bethesda, Maryland",1.1,1.71,38.984652,-77.0947092
223,MMC,Marsh McLennan,Financials,"New York City, New York",1.27,2.51,40.7127753,-74.0059728
224,MLM,Martin Marietta Materials,Materials,"Raleigh, North Carolina",1.62,1.02,35.7795897,-78.6381787
225,MAS,Masco,Industrials,"Livonia, Michigan",0.38,1.45,42.36837,-83.35270969999999
226,MA,Mastercard,Financials,"Harrison, New York",0.73,0.83,40.9700171,-73.7176337
227,MKC,McCormick & Company,Consumer Staples,"Hunt Valley, Maryland",1.69,4.12,39.4900013,-76.65850739999999
228,MCD,McDonald's,Consumer Discretionary,"Chicago, Illinois",3.56,3.62,41.8781136,-87.6297982
229,MCK,McKesson,Health Care,"Irving, Texas",1.12,0.67,32.8140177,-96.9488945
230,MDT,Medtronic,Health Care,"Dublin, Ireland",1.62,2.35,53.3498053,-6.2603097
231,MRK,Merck & Co.,Health Care,"Kenilworth, New Jersey",1.84,4.32,40.6764911,-74.2907032
232,MET,MetLife,Financials,"New York City, New York",1.55,5.83,40.7127753,-74.0059728
233,MCHP,Microchip Technology,Information Technology,"Chandler, Arizona",1.44,6.67,33.3061605,-111.8412502
234,MSFT,Microsoft,Information Technology,"Redmond, Washington",1.44,3.02,47.6739881,-122.121512
235,MAA,Mid-America Apartment Communities,Real Estate,"Memphis, Tennessee",3.23,4.4,35.1495343,-90.0489801
236,TAP,Molson Coors Beverage Company,Consumer Staples,"Chicago, Illinois",1.64,2.0,41.8781136,-87.6297982
237,MDLZ,Mondelez International,Consumer Staples,"Chicago, Illinois",0.7,1.91,41.8781136,-87.6297982
238,MPWR,Monolithic Power Systems,Information Technology,"Kirkland, Washington",0.8,1.26,47.6768927,-122.2059833
239,MCO,Moody's Corporation,Financials,"New York City, New York",1.45,1.63,40.7127753,-74.0059728
240,MS,Morgan Stanley,Financials,"New York City, New York",0.65,2.77,40.7127753,-74.0059728
241,MOS,Mosaic Company (The),Materials,"Tampa, Florida",1.1,4.37,27.950575,-82.4571776
242,MSI,Motorola Solutions,Information Technology,"Chicago, Illinois",1.64,2.62,41.8781136,-87.6297982
243,MSCI,MSCI,Financials,"New York City, New York",0.94,1.35,40.7127753,-74.0059728
244,NDAQ,"Nasdaq, Inc.",Financials,"New York City, New York",1.14,6.05,40.7127753,-74.0059728
245,NTAP,NetApp,Information Technology,"San Jose, California",0.73,3.32,37.33874,-121.8852525
246,NWL,Newell Brands,Consumer Discretionary,"Atlanta, Georgia",0.76,2.25,33.748752,-84.38768449999999
247,NEM,Newmont,Materials,"Denver, Colorado",0.1,0.43,39.7392358,-104.990251
248,NWSA,News Corp (Class A),Communication Services,"New York City, New York",0.2,1.75,40.7127753,-74.0059728
249,NWS,News Corp (Class B),Communication Services,"New York City, New York",0.2,1.67,40.7127753,-74.0059728
250,NEE,NextEra Energy,Utilities,"Juno Beach, Florida",3.38,14.07,26.8797819,-80.0533743
251,NKE,"Nike, Inc.",Consumer Discretionary,"Washington County, Oregon",0.8,1.42,45.5469616,-123.1386021
252,NI,NiSource,Utilities,"Merrillville, Indiana",0.63,3.64,41.4828144,-87.33281389999999
253,NDSN,Nordson Corporation,Industrials,"Westlake, Ohio",0.99,1.41,41.4553232,-81.9179173
254,NSC,Norfolk Southern Railway,Industrials,"Atlanta, Georgia",2.36,3.42,33.748752,-84.38768449999999
255,NTRS,Northern Trust,Financials,"Chicago, Illinois",1.46,2.5,41.8781136,-87.6297982
256,NOC,Northrop Grumman,Industrials,"West Falls Church, Virginia",3.4,1.89,38.8645565,-77.1877587
257,NRG,NRG Energy,Utilities,"Houston, Texas",0.35,3.49,29.7604267,-95.3698028
258,NUE,Nucor,Materials,"Charlotte, North Carolina",1.5,3.9,35.2270869,-80.8431267
259,NVDA,Nvidia,Information Technology,"Santa Clara, California",0.46,4.79,37.3541079,-121.9552356
260,OXY,Occidental Petroleum,Energy,"Houston, Texas",3.01,5.5,29.7604267,-95.3698028
261,OMC,Omnicom Group,Communication Services,"New York City, New York",2.1,3.35,40.7127753,-74.0059728
262,OKE,ONEOK,Energy,"Tulsa, Oklahoma",2.46,12.18,36.1539816,-95.99277500000001
263,ORCL,Oracle Corporation,Information Technology,"Austin, Texas",0.6,1.75,30.267153,-97.7430608
264,PCAR,Paccar,Industrials,"Bellevue, Washington",2.36,9.36,47.6101497,-122.2015159
265,PKG,Packaging Corporation of America,Materials,"Lake Forest, Illinois",2.28,4.33,42.2586342,-87.840625
266,PARA,Paramount Global,Communication Services,"New York City, New York",0.63,1.44,40.7127753,-74.0059728
267,PH,Parker Hannifin,Industrials,"Cleveland, Ohio",2.52,2.59,41.49932,-81.6943605
268,PAYX,Paychex,Industrials,"Penfield, New York",1.72,4.13,43.1303407,-77.475551
269,PNR,Pentair,Industrials,"Worsley, United Kingdom",1.32,4.17,53.50754,-2.391199
270,PEP,PepsiCo,Consumer Staples,"Purchase, New York",2.91,3.52,41.0400135,-73.7144477
271,PFE,Pfizer,Health Care,"New York City, New York",1.18,4.98,40.7127753,-74.0059728
272,PCG,PG&E Corporation,Utilities,"San Francisco, California",1.89,3.33,37.7749295,-122.4194155
273,PM,Philip Morris International,Consumer Staples,"New York City, New York",4.1,6.24,40.7127753,-74.0059728
274,PSX,Phillips 66,Energy,"Houston, Texas",2.38,3.93,29.7604267,-95.3698028
275,PNW,Pinnacle West,Utilities,"Phoenix, Arizona",2.5,4.81,33.4483771,-112.0740373
276,PXD,Pioneer Natural Resources,Energy,"Irving, Texas",0.08,0.06,32.8140177,-96.9488945
277,PNC,PNC Financial Services,Financials,"Pittsburgh, Pennsylvania",2.08,3.04,40.44062479999999,-79.9958864
278,POOL,Pool Corporation,Consumer Discretionary,"Covington, Louisiana",1.14,1.4,30.4754702,-90.1009108
279,PPG,PPG Industries,Materials,"Pittsburgh, Pennsylvania",1.52,1.68,40.44062479999999,-79.9958864
280,PPL,PPL Corporation,Utilities,"Allentown, Pennsylvania",1.52,6.02,40.6022939,-75.4714098
281,PFG,Principal Financial Group,Financials,"Des Moines, Iowa",1.56,4.56,41.5868353,-93.6249593
282,PG,Procter & Gamble,Consumer Staples,"Cincinnati, Ohio",2.66,4.15,39.1031182,-84.5120196
283,PGR,Progressive Corporation,Financials,"Mayfield Village, Ohio",0.89,3.51,41.5519952,-81.4392828
284,PLD,Prologis,Real Estate,"San Francisco, California",1.66,4.39,37.7749295,-122.4194155
285,PRU,Prudential Financial,Financials,"Newark, New Jersey",2.8,5.04,40.735657,-74.1723667
286,PEG,Public Service Enterprise Group,Utilities,"Newark, New Jersey",1.62,4.92,40.735657,-74.1723667
287,PSA,Public Storage,Real Estate,"Glendale, California",7.0,3.88,34.1425078,-118.255075
288,PHM,PulteGroup,Consumer Discretionary,"Atlanta, Georgia",0.36,2.14,33.748752,-84.38768449999999
289,QCOM,Qualcomm,Information Technology,"San Diego, California",2.02,4.62,32.715738,-117.1610838
290,DGX,Quest Diagnostics,Health Care,"Secaucus, New Jersey",1.96,3.11,40.7895453,-74.05652979999999
291,RL,Ralph Lauren Corporation,Consumer Discretionary,"New York City, New York",2.0,2.37,40.7127753,-74.0059728
292,RJF,Raymond James,Financials,"St. Petersburg, Florida",0.8,2.55,27.7676008,-82.64029149999999
293,RTX,RTX Corporation,Industrials,"Waltham, Massachusetts",2.6,6.31,42.3764852,-71.2356113
294,O,Realty Income,Real Estate,"San Diego, California",2.37,5.68,32.715738,-117.1610838
295,REG,Regency Centers,Real Estate,"Jacksonville, Florida",1.98,3.56,30.3321838,-81.65565099999999
296,RF,Regions Financial Corporation,Financials,"Birmingham, Alabama",0.25,3.42,33.5185892,-86.8103567
297,RSG,Republic Services,Industrials,"Phoenix, Arizona",1.22,2.88,33.4483771,-112.0740373
298,RMD,ResMed,Health Care,"San Diego, California",1.23,2.23,32.715738,-117.1610838
299,RVTY,Revvity,Health Care,"Waltham, Massachusetts",0.28,0.57,42.3764852,-71.2356113
300,RHI,Robert Half,Industrials,"Menlo Park, California",0.86,2.42,37.4529598,-122.1817252
301,ROK,Rockwell Automation,Industrials,"Milwaukee, Wisconsin",2.9,3.12,43.0389025,-87.9064736
302,ROL,"Rollins, Inc.",Industrials,"Atlanta, Georgia",0.48,4.43,33.748752,-84.38768449999999
303,ROP,Roper Technologies,Information Technology,"Sarasota, Florida",1.15,0.69,27.336465,-82.5310117
304,ROST,Ross Stores,Consumer Discretionary,"Dublin, California",0.52,0.99,37.7159396,-121.9101221
305,RCL,Royal Caribbean Group,Consumer Discretionary,"Miami, Florida",1.6,2.28,25.7616798,-80.1917902
306,SPGI,S&P Global,Financials,"New York City, New York",1.41,1.48,40.7127753,-74.0059728
307,SLB,Schlumberger,Energy,"Houston, Texas",2.0,3.28,29.7604267,-95.3698028
308,STX,Seagate Technology,Information Technology,"Dublin, Ireland",2.52,12.43,53.3498053,-6.2603097
309,SEE,Sealed Air,Materials,"Charlotte, North Carolina",0.58,1.4,35.2270869,-80.8431267
310,SRE,Sempra Energy,Utilities,"San Diego, California",2.96,3.56,32.715738,-117.1610838
311,SHW,Sherwin-Williams,Materials,"Cleveland, Ohio",3.19,3.69,41.49932,-81.6943605
